iter	Logloss
0	0.6882826976
1	0.6840317955
2	0.678589739
3	0.6732497302
4	0.6692339999
5	0.663680159
6	0.6598169056
7	0.6554603222
8	0.6510517549
9	0.6459958458
10	0.6427141811
11	0.6382775464
12	0.6338796545
13	0.6300372744
14	0.6267191239
15	0.6222652978
16	0.620184114
17	0.6181371261
18	0.6161243617
19	0.613043214
20	0.6088184164
21	0.6058561809
22	0.6024101749
23	0.6005814706
24	0.5975615361
25	0.5957974734
26	0.5927245109
27	0.5895446907
28	0.5869148799
29	0.5833785091
30	0.5804041822
31	0.5774596672
32	0.5742197642
33	0.5711885316
34	0.5681093771
35	0.5654854831
36	0.5621299512
37	0.5588728256
38	0.5554967125
39	0.5526241267
40	0.5505386644
41	0.5476624334
42	0.5456197095
43	0.5436427617
44	0.5414210444
45	0.5389001595
46	0.5362528579
47	0.5337335727
48	0.5310080101
49	0.5299084491
50	0.5285400029
51	0.5274771797
52	0.5252346402
53	0.5228090778
54	0.5218050187
55	0.5192506543
56	0.5172445241
57	0.5146625384
58	0.5124750142
59	0.5115655464
60	0.5102104563
61	0.5081236076
62	0.5058307216
63	0.504736819
64	0.5029325686
65	0.5021194071
66	0.5007768641
67	0.4983822214
68	0.496887723
69	0.4950284245
70	0.4928050665
71	0.4908368627
72	0.4900776459
73	0.4879850455
74	0.4862845911
75	0.4848690353
76	0.4833670993
77	0.4818579624
78	0.4801620224
79	0.4787926934
80	0.4775996162
81	0.4767926421
82	0.4748907458
83	0.4741865225
84	0.473620909
85	0.4724167699
86	0.4712351081
87	0.4698831034
88	0.4683902225
89	0.4670669097
90	0.4655781392
91	0.4642412968
92	0.4628756736
93	0.4620523213
94	0.4608140781
95	0.4595855277
96	0.4578108382
97	0.4573692343
98	0.4569348877
99	0.4555359346
100	0.4547986389
101	0.4535851529
102	0.4524853305
103	0.4512953442
104	0.4501047587
105	0.449573852
106	0.4486010606
107	0.4474042368
108	0.4462179777
109	0.4452220146
110	0.4446454315
111	0.4435716831
112	0.4429757071
113	0.4417752289
114	0.4411898632
115	0.4400240772
116	0.4395945494
117	0.438381917
118	0.4374059914
119	0.4363419544
120	0.4354990049
121	0.4345916111
122	0.4339131326
